Various University Projects (2021-2023), pic03.jpg, https://github.com/hazzakak,  ,
Software Developer @ Sonoran Software (2021-2022), pic04.png, #, Worked as part of a team updating a Discord Bot that set SonoranCAD apart from competitors. Using version control software, and javascript.
LARoleplay (2022), pic02.png, https://laroleplay.com, Landing page for a roleplay community which holds reporting functions, blog and profiles.
EcoPlay (2021), pic01.png, https://github.com/hazzakak/EcoPlay-Website, An economy system which connects discord and a website to enable roleplay communities and other fun communities to have an economic system.
JBot Version 5 (2021), pic03.jpg, #, The latest discord bot which moderates my discord server. Uses the most recent functionalities such as slash commands, forms and buttons.
Personal Website (2019), pic03.png, #, My main testing hub, creating important functionalities such as image hosting, url shortening, user roles, blogs, and APIs.
SARP (2019), pic03.jpg, #, Website and Discord bot combo, which connects the application website with discord. Syncing roles to acceptance status, posting messages, automatic staff roles via discord roles and much more
